,StopPointRef,CommonName_x,LocalityName_x,LocalityQualifier,AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName_y,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName_y,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
119489,0180BAC56468,Braysdown Lane,Peasedown St. John,Bath & NE Somerset,0180BAC56468,bthmpwt,,,Braysdown Lane,en,,,,,Wellow Lane,en,,,W-bound,en,W,E0052932,Peasedown St John,,,,,,,0,U,370393,156954,-2.426157801,51.3109198636,BCT,CUS,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119490,0180BAC30903,Welton Road,Radstock,Bath & NE Somerset,0180BAC30903,bthdajg,,,Welton Road,en,,,,,Somervale Road,en,,,W-bound,en,W,E0035085,Radstock,Norton-Radstock,,,,,,0,U,367927,154722,-2.4613358244,51.2907162367,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:17,0,new,act
119491,0180BAC30903,Welton Road,Radstock,Bath & NE Somerset,0180BAC30903,bthdajg,,,Welton Road,en,,,,,Somervale Road,en,,,W-bound,en,W,E0035085,Radstock,Norton-Radstock,,,,,,0,U,367927,154722,-2.4613358244,51.2907162367,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:17,0,new,act
119492,0180BAC30903,Welton Road,Radstock,Bath & NE Somerset,0180BAC30903,bthdajg,,,Welton Road,en,,,,,Somervale Road,en,,,W-bound,en,W,E0035085,Radstock,Norton-Radstock,,,,,,0,U,367927,154722,-2.4613358244,51.2907162367,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:17,0,new,act
119493,0180BAC30903,Welton Road,Radstock,Bath & NE Somerset,0180BAC30903,bthdajg,,,Welton Road,en,,,,,Somervale Road,en,,,W-bound,en,W,E0035085,Radstock,Norton-Radstock,,,,,,0,U,367927,154722,-2.4613358244,51.2907162367,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:17,0,new,act
119494,0180BAC30904,Wheelers Road,Welton (Somset),Bath & NE Somerset,0180BAC30904,bthdagt,,,Wheelers Road,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367616,154750,-2.4657982672,51.29095035,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:20,0,new,act
119495,0180BAC30904,Wheelers Road,Welton (Somset),Bath & NE Somerset,0180BAC30904,bthdagt,,,Wheelers Road,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367616,154750,-2.4657982672,51.29095035,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:20,0,new,act
119496,0180BAC30904,Wheelers Road,Welton (Somset),Bath & NE Somerset,0180BAC30904,bthdagt,,,Wheelers Road,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367616,154750,-2.4657982672,51.29095035,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:20,0,new,act
119497,0180BAC30904,Wheelers Road,Welton (Somset),Bath & NE Somerset,0180BAC30904,bthdagt,,,Wheelers Road,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367616,154750,-2.4657982672,51.29095035,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-07-14T15:18:20,0,new,act
119498,0180BAC30906,Welton Primary School,Welton (Somset),Bath & NE Somerset,0180BAC30906,bthawtg,,,Welton Primary School,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367051,154632,-2.4738897606,51.2898568154,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-05-16T09:01:27,2,new,act
119499,0180BAC30906,Welton Primary School,Welton (Somset),Bath & NE Somerset,0180BAC30906,bthawtg,,,Welton Primary School,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367051,154632,-2.4738897606,51.2898568154,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-05-16T09:01:27,2,new,act
119500,0180BAC30906,Welton Primary School,Welton (Somset),Bath & NE Somerset,0180BAC30906,bthawtg,,,Welton Primary School,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367051,154632,-2.4738897606,51.2898568154,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-05-16T09:01:27,2,new,act
119501,0180BAC30906,Welton Primary School,Welton (Somset),Bath & NE Somerset,0180BAC30906,bthawtg,,,Welton Primary School,en,,,,,Radstock Road,en,,,W-bound,en,W,E0035143,Welton,Midsomer Norton,Norton-Radstock,,,,,0,U,367051,154632,-2.4738897606,51.2898568154,BCT,MKD,OTH,,,,1,2014-10-21T13:55:27,2014-05-16T09:01:27,2,new,act
119502,0180BAC30859,High St Top,Midsomer Norton,Bath & NE Somerset,0180BAC30859,bthawmd,,,High St Top,en,,,,,High Street,en,,,S-bound,en,S,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366753,154534,-2.4781539904,51.2889582539,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
